Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
LA ARAUCANIA,262,BARROS ARANA,TEODORO SCHMIDT,1,1,3,2749,True
LOS LAGOS,263,10R,HUALAIHUE,1,1,2,363,True
LOS LAGOS,264,PUYAO,CASTRO,1,1,1,63,True
ÑUBLE,265,SANTA TRINIDAD,QUIRIHUE,1,1,2,35,True
COQUIMBO,266,VILLA EL ALMENDRAL,VICUNA,1,1,1,152,True
LOS LAGOS,267,01R,MAULLIN,1,1,1,41,True
ÑUBLE,268,EL DURAZNO,QUIRIHUE,1,1,2,72,True
LA ARAUCANIA,269,CUMCUMLLAQUE,MELIPEUCO,1,1,2,1023,True
LOS LAGOS,270,LOS JUNCOS,SAN PABLO,1,1,1,180,True
ÑUBLE,271,06R,TREGUACO,1,1,1,301,True
BIOBIO,272,13R,TIRUA,1,1,2,323,True
TARAPACA,273,002,COLCHANE,1,1,2,500,True
LOS LAGOS,274,5R,QUEILEN,1,1,1,71,True
VALPARAISO,275,LOS AROMOS,EL TABO,1,1,1,297,True
BIOBIO,276,TRONGOL ALTO,CURANILAHUE,1,1,1,60,True
COQUIMBO,277,CONDORIACO,LA SERENA,1,1,1,0,True
ÑUBLE,278,EL SAUCE,QUIRIHUE,1,1,2,29,True
ÑUBLE,279,001,NINHUE,1,1,1,519,True
LA ARAUCANIA,280,AFQUINTUE,LONCOCHE,1,1,1,879,True
COQUIMBO,281,009,PUNITAQUI,1,1,2,337,True
BIOBIO,282,15R,CANETE,1,1,1,178,True
COQUIMBO,283,6,LA HIGUERA,1,1,1,459,True
BIOBIO,284,PERALILLO,QUILLECO,1,1,1,208,True
LOS RIOS,285,SAN JUAN CATRILEFU,CORRAL,1,1,2,246,True
LA ARAUCANIA,286,COLICO,CARAHUE,1,1,2,976,True
TARAPACA,287,009,HUARA,1,1,2,233,True
BIOBIO,288,RIO CLARO,YUMBEL,1,1,1,2075,True
BIOBIO,289,24R,CANETE,1,1,1,1357,True
ARICA Y PARINACOTA,290,1,CAMARONES,1,1,2,386,True
LA ARAUCANIA,291,UNIDAD VECINAL RURAL 9,PITRUFQUEN,1,1,1,748,True
BIOBIO,292,TUBUL,ARAUCO,1,1,1,1487,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,293,LAGUNA ESCONDIDA,CISNES,1,1,2,1018,True
BIOBIO,294,RAMADILLA,QUILLECO,1,1,1,74,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,295,PALMILLA,NAVIDAD,1,1,2,909,True
ÑUBLE,296,10R,PORTEZUELO,1,1,2,387,True
ÑUBLE,297,LAS QUILAS,SAN IGNACIO,1,1,1,1245,True
COQUIMBO,298,7,LOS VILOS,1,1,1,929,True
ÑUBLE,299,PULLAY,COBQUECURA,1,1,2,218,True
LOS LAGOS,300,AULLIN SAN JOSE,QUEMCHI,1,1,1,117,True
LOS LAGOS,301,QUENAC,QUINCHAO,1,1,2,246,True
