scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,16104,El Carmen,Ñuble,True,True,6206,2370,2371,1,60,2431,3835,3835,3775,3775,60,60
commune,16105,Pemuco,Ñuble,True,True,4202,2211,2212,1,30,2242,1990,1990,1960,1960,30,30
commune,16106,Pinto,Ñuble,True,True,7655,3762,3763,1,103,3866,3892,3892,3789,3789,103,103
commune,16107,Quillón,Ñuble,True,True,13483,6590,6591,1,130,6721,6892,6892,6762,6762,130,130
commune,16108,San Ignacio,Ñuble,True,True,7989,3735,3746,11,54,3800,4243,4243,4189,4189,54,54
commune,16109,Yungay,Ñuble,True,True,10335,5096,5099,3,120,5219,5236,5236,5116,5116,120,120
commune,16201,Quirihue,Ñuble,True,True,5622,3950,3953,3,57,4010,1669,1669,1612,1612,57,57
commune,16202,Cobquecura,Ñuble,True,True,3891,1750,1752,2,46,1798,2139,2139,2093,2093,46,46
commune,16203,Coelemu,Ñuble,True,True,7085,3660,3663,3,116,3779,3422,3422,3306,3306,116,116
commune,16204,Ninhue,Ñuble,True,True,2907,997,998,1,21,1019,1909,1909,1888,1888,21,21
commune,16205,Portezuelo,Ñuble,True,True,2698,983,983,0,23,1006,1715,1715,1692,1692,23,23
commune,16206,Ránquil,Ñuble,True,True,3560,1569,1569,0,29,1598,1991,1991,1962,1962,29,29
commune,16207,Trehuaco,Ñuble,False,True,3053,,1342,,11,1353,1711,1711,1700,1700,11,11
commune,16301,San Carlos,Ñuble,True,True,23894,15951,15955,4,250,16205,7939,7939,7689,7689,250,250
commune,16302,Coihueco,Ñuble,True,True,12129,5626,5626,0,98,5724,6503,6503,6405,6405,98,98
commune,16303,Ñiquén,Ñuble,True,True,6007,1222,1223,1,20,1243,4784,4784,4764,4764,20,20
commune,16304,San Fabián,Ñuble,True,True,3136,1092,1092,0,26,1118,2044,2044,2018,2018,26,26
commune,16305,San Nicolás,Ñuble,True,True,6326,2411,2411,0,33,2444,3915,3915,3882,3882,33,33
commune,2101,Antofagasta,Antofagasta,True,True,139716,117961,117973,12,1299,119272,21743,21743,20444,20444,1299,1299
commune,2102,Mejillones,Antofagasta,True,True,5789,4356,4356,0,52,4408,1433,1433,1381,1381,52,52
commune,2103,Sierra Gorda,Antofagasta,True,True,728,428,428,0,22,450,300,300,278,278,22,22
commune,2104,Taltal,Antofagasta,True,True,5310,3670,3670,0,65,3735,1640,1640,1575,1575,65,65
commune,2201,Calama,Antofagasta,True,True,60794,45334,45754,420,681,46435,15040,15040,14359,14359,681,681
commune,2202,Ollagüe,Antofagasta,True,True,438,70,70,0,3,73,368,368,365,365,3,3
commune,2203,San Pedro de Atacama,Antofagasta,True,True,5048,1675,1675,0,124,1799,3373,3373,3249,3249,124,124
commune,2301,Tocopilla,Antofagasta,True,True,11870,8974,8975,1,95,9070,2895,2895,2800,2800,95,95
commune,2302,María Elena,Antofagasta,True,True,1925,94,94,0,19,113,1831,1831,1812,1812,19,19
commune,3101,Copiapó,Atacama,True,True,64368,53406,53414,8,564,53978,10954,10954,10390,10390,564,564
commune,3102,Caldera,Atacama,True,True,18099,8504,8505,1,135,8640,9594,9594,9459,9459,135,135
commune,3103,Tierra Amarilla,Atacama,True,True,4627,3132,3132,0,109,3241,1495,1495,1386,1386,109,109
commune,3201,Chañaral,Atacama,True,True,7229,4764,4766,2,145,4911,2463,2463,2318,2318,145,145
commune,3202,Diego de Almagro,Atacama,True,True,6798,2877,2931,54,204,3135,3867,3867,3663,3663,204,204
commune,3301,Vallenar,Atacama,True,True,23392,18144,18150,6,330,18480,5242,5242,4912,4912,330,330
commune,3302,Alto del Carmen,Atacama,True,True,3161,1110,1110,0,18,1128,2051,2051,2033,2033,18,18
