codigo_comuna,comuna,region,conara_sources,source_available,dwellings_2024,vacant_2024,households_2024,occupied_private_dwellings_2024,irrecoverable_type_dwellings_2024,irrecoverable_materiality_dwellings_2024,irrecoverable_dwellings_2024,residential_roles_2026s1,signed_gap,coverage_pct,camp_polygons_2026,camp_census_households_observed_2024,camp_census_count_missing_polygons,camp_catalog_households_2026,camp_sensitivity_signed_gap,camp_sensitivity_positive_gap,camp_absorbed_positive_gap,camp_absorbed_positive_gap_pct,camp_adjustment_status,historical_conara_sources,historical_source_available,residential_roles_2024s2,gap_2024s2,roles_without_coordinates,parent_references,net_mean_annual_clp,net_median_annual_clp,net_positive_share,net_positive_mean_annual_clp,net_positive_median_annual_clp,scenario_q0_clp,scenario_q025_clp,scenario_q05_clp,scenario_q1_clp,fiscal_status
10101,Puerto Montt,Los Lagos,10301,True,116003,12431,100163,98794,560,453,949,86967,29036,74.96961285483997,19,632,2,1045,28404,28404,632,2.1766083482573357,partial_census_count,10301,True,82438,33565,7040,0,,,,,,,,,,blocked_components
10102,Calbuco,Los Lagos,10309,True,15935,2121,13410,13345,270,28,292,4694,11241,29.45716975211798,5,188,0,221,11053,11053,188,1.672449070367405,complete_census_count,10309,True,4316,11619,990,0,,,,,,,,,,blocked_components
10103,Cochamó,Los Lagos,10302,True,3059,1151,1887,1881,57,5,60,441,2618,14.416475972540045,0,0,0,0,2618,2618,0,0.0,no_current_camp_polygon,10302,True,413,2646,201,0,,,,,,,,,,blocked_components
10104,Fresia,Los Lagos,10304,True,6285,1035,4853,4836,342,16,357,3274,3011,52.09228321400159,0,0,0,0,3011,3011,0,0.0,no_current_camp_polygon,10304,True,3219,3066,1064,0,,,,,,,,,,blocked_components
10105,Frutillar,Los Lagos,10305,True,10299,1575,8159,8081,97,23,117,7007,3292,68.03573162442956,2,62,0,21,3230,3230,62,1.8833535844471445,complete_census_count,10305,True,6078,4221,1324,0,,,,,,,,,,blocked_components
10106,Los Muermos,Los Lagos,10308,True,8696,1571,6657,6627,107,13,119,3205,5491,36.85602575896964,2,32,0,37,5459,5459,32,0.582771808413768,complete_census_count,10308,True,3115,5581,694,0,,,,,,,,,,blocked_components
10107,Llanquihue,Los Lagos,10306,True,6957,552,6206,6095,55,9,64,4983,1974,71.6257007330746,1,52,0,51,1922,1922,52,2.634245187436677,complete_census_count,10306,True,4708,2249,626,0,,,,,,,,,,blocked_components
10108,Maullín,Los Lagos,10307,True,7554,1348,5960,5940,19,10,29,3013,4541,39.88615303150649,0,0,0,0,4541,4541,0,0.0,no_current_camp_polygon,10307,True,2910,4644,535,0,,,,,,,,,,blocked_components
10109,Puerto Varas,Los Lagos,10303,True,25190,3928,19108,18779,129,161,288,16454,8736,65.31957125843589,1,43,0,54,8693,8693,43,0.49221611721611724,complete_census_count,10303,True,15165,10025,1142,0,,,,,,,,,,blocked_components
10201,Castro,Los Lagos,10401,True,21172,2066,17911,17730,138,109,237,13268,7904,62.667674286793876,2,39,0,65,7865,7865,39,0.4934210526315789,complete_census_count,10401,True,12488,8684,1207,0,,,,,,,,,,blocked_components
